population_size,generations,mutation_rate,local_search_rate,mean_makespan,std_dev_makespan
50,100,0.01,0.1,916.60,3.07
50,100,0.01,0.2,916.80,3.71
50,100,0.01,0.3,917.20,3.76
50,100,0.05,0.1,922.40,2.06
50,100,0.05,0.2,920.00,3.35
50,100,0.05,0.3,917.20,3.25
50,100,0.1,0.1,921.80,2.99
50,100,0.1,0.2,918.00,2.10
50,100,0.1,0.3,912.00,5.55
50,200,0.01,0.1,919.20,3.60
50,200,0.01,0.2,915.40,6.25
50,200,0.01,0.3,918.20,2.99
50,200,0.05,0.1,916.00,6.07
50,200,0.05,0.2,915.60,6.05
50,200,0.05,0.3,912.60,5.08
50,200,0.1,0.1,914.80,6.46
50,200,0.1,0.2,910.00,3.41
50,200,0.1,0.3,913.60,5.31
100,100,0.01,0.1,915.80,6.34
100,100,0.01,0.2,912.60,4.32
100,100,0.01,0.3,909.60,5.04
100,100,0.05,0.1,915.80,3.54
100,100,0.05,0.2,909.20,3.97
100,100,0.05,0.3,909.20,4.71
100,100,0.1,0.1,916.00,4.90
100,100,0.1,0.2,911.60,3.93
100,100,0.1,0.3,912.20,3.19
100,200,0.01,0.1,913.40,5.39
100,200,0.01,0.2,911.80,4.45
100,200,0.01,0.3,910.20,3.97
100,200,0.05,0.1,914.80,5.04
100,200,0.05,0.2,915.00,2.61
100,200,0.05,0.3,910.00,5.62
100,200,0.1,0.1,914.80,3.06
100,200,0.1,0.2,915.20,3.31
100,200,0.1,0.3,909.80,2.64
